Test,Testing_Item,Test_(Repeat),Range,Value
tb_leakage_high,AA_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AA_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,AA_2,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AA_3,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AA_4,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AA_5,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AA_6,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,AA_7,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AA_8,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,AA_9,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AA_10,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,AA_11,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AA_12,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AA_13,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AA_14,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AA_15,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AB_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AB_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AB_2,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AB_3,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AB_4,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AB_5,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AB_6,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,AB_7,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AB_8,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AB_9,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,AB_10,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,AB_11,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.019_uA
tb_leakage_high,AB_12,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,ACC_ENABLE,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,ACC_RESETN,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.019_uA
tb_leakage_high,ACC_SEL_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,ACC_SEL_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,ACC_SEL_2,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,ACC_SEL_3,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,ACC_SEL_4,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,ADA,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,BIST_CLK_SEL,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.031_uA
tb_leakage_high,BIST_SE,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,BIST_SI_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,BIST_SI_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,BIST_SI_2,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,BIST_SI_3,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,CENA,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,CENB,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,CLKA,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,CLKB,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,CLKSC,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,CRE1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,CRE2,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,DA_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,DA_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,DA_2,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,DA_3,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,DB_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,DB_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,DB_2,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,DB_3,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,DFTRAMBYP,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,ECEN,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,EMAA_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,EMAA_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,EMAA_2,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,EMAB_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,EMAB_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,EMAB_2,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,EMAP,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,EMASA,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,EMAWA_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,EMAWA_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,EXT_CLK_SEL_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,EXT_CLK_SEL_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,FF_CLK,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,FF_EN,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,GWENA,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,GWENB,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,KEN,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,LATECANCEL,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,LRENA_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,LRENA_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,LRENB_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,LRENB_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,LV_3RD_PARTY_TM_OR_B,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,OSC_EN,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,OUTPUT_SEL_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,OUTPUT_SEL_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,OUTPUT_SEL_2,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,PGEN,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,PLL_FREF,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,PLL_PD,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,PLL_REFDIV_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,PLL_REFDIV_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.019_uA
tb_leakage_high,PLL_REFDIV_2,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,PLL_REFDIV_3,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,PLL_REFDIV_4,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,PLL_REFDIV_5,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.019_uA
tb_leakage_high,POSTDIV1_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,POSTDIV1_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,POSTDIV1_2,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,RAWL,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,RAWLM_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,RAWLM_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,RDTA,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,RET1N,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,RET2N,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SC_RESETN,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SEL_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,SEL_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,SEL_2,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SEL_3,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,SEL_4,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,SEL_5,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SEL_6,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,SEL_7,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SEL_8,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,SEL_9,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,SEL_10,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,SEL_11,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SEL_12,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,SEL_13,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.019_uA
tb_leakage_high,SE_MEM,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,SI_MEM_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SI_MEM_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,STOV,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,STOVAB,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,SUHD_ADWC_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,SUHD_ADWC_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,SUHD_ADWC_2,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SUHD_BIT,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SUHD_DATA,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SUHD_ENABLE,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SUHD_MODE,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SUHD_SKEW_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,SUHD_SKEW_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SUHD_SKEW_2,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SUHD_SKEW_3,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,SUHD_SKEW_4,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,SUHD_SKEW_5,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.012_uA
tb_leakage_high,SUHD_SKEW_6,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,TCK,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,TDI,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,TMS,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,TRSTN,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,WABL,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,WABLM_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_high,WABLM_1,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
tb_leakage_high,WENA_0,leakage_high,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.006_uA
